Dataset source: http://data.worldbank.org/country/united-states

Description:
This dataset contains development indicators (economic, demographic and sociologic) in the United States for a period of 14 years (1996 - 2009).

Variable names:

AG.AGR.TRAC.NO		Agricultural machinery, tractors
SE.PRE.ENRR		School enrollment, preprimary (% gross)
SE.PRE.ENRR.FE		School enrollment, preprimary, female (% gross)
SE.PRM.ENRL		Primary education, pupils
SE.PRM.ENRL.FE.ZS	Primary education, pupils (% female)
SE.PRM.ENRL.TC.ZS	Pupil-teacher ratio, primary
SE.PRM.ENRR		School enrollment, primary (% gross)
SE.PRM.NENR		School enrollment, primary (% net)
SE.PRM.PRIV.ZS		School enrollment, primary, private (% of total primary)
SE.PRM.UNER		Children out of school, primary
SE.SEC.ENRL		Secondary education, pupils
SE.TER.ENRR		School enrollment, tertiary (% gross)
SE.XPD.TOTL.GB.ZS	Public spending on education, total (% of government expenditure)
SH.DTH.IMRT		Number of infant deaths
SH.DTH.MORT		Number of under-five deaths
SH.DYN.MORT		Mortality rate, under-5 (per 1,000 live births)
SH.MED.BEDS.ZS		Hospital beds (per 1,000 people)
SL.EMP.SELF.ZS		Self-employed, total (% of total employed)
SL.UEM.TOTL.NE.ZS	Unemployment, total (% of total labor force) (national estimate)
SP.ADO.TFRT		Adolescent fertility rate (births per 1,000 women ages 15-19)
SP.DYN.AMRT.FE		Mortality rate, adult, female (per 1,000 female adults)
SP.DYN.AMRT.MA		Mortality rate, adult, male (per 1,000 male adults)
SP.DYN.CBRT.IN		Birth rate, crude (per 1,000 people)
SP.DYN.CDRT.IN		Death rate, crude (per 1,000 people)
SP.DYN.LE00.IN		Life expectancy at birth, total (years)
SP.POP.0014.TO.ZS	Population ages 0-14 (% of total)
SP.POP.1564.TO.ZS	Population ages 15-64 (% of total)
SP.POP.65UP.TO.ZS	Population ages 65 and above (% of total)
SP.POP.GROW		Population growth (annual %)
SP.POP.SCIE.RD.P6	Researchers in R&D (per million people)
SP.POP.TOTL		Population, total
SP.RUR.TOTL		Rural population
SP.URB.TOTL		Urban population
TG.VAL.TOTL.GD.ZS	Merchandise trade (% of GDP)
TM.VAL.AGRI.ZS.UN	Agricultural raw materials imports (% of merchandise imports)
TM.VAL.FOOD.ZS.UN	Food imports (% of merchandise imports)
TM.VAL.FUEL.ZS.UN	Fuel imports (% of merchandise imports)
TM.VAL.MANF.ZS.UN	Manufactures imports (% of merchandise imports)
TM.VAL.MMTL.ZS.UN	Ores and metals imports (% of merchandise imports)
TM.VAL.MRCH.AL.ZS	Merchandise imports from economies in the Arab World (% of total merchandise imports)
TM.VAL.MRCH.CD.WT	Merchandise imports (current US$)
TM.VAL.MRCH.HI.ZS	Merchandise imports from high-income economies (% of total merchandise imports)
TM.VAL.MRCH.OR.ZS	Merchandise imports from developing economies outside region (% of total merchandise imports)
TM.VAL.MRCH.R1.ZS	Merchandise imports from developing economies in East Asia & Pacific (% of total merchandise imports)
TM.VAL.MRCH.R3.ZS	Merchandise imports from developing economies in Latin America & the Caribbean (% of total merchandise imports)
TM.VAL.MRCH.R4.ZS	Merchandise imports from developing economies in Middle East & North Africa (% of total merchandise imports)
TM.VAL.MRCH.R5.ZS	Merchandise imports from developing economies in South Asia (% of total merchandise imports)
TM.VAL.MRCH.R6.ZS	Merchandise imports from developing economies in Sub-Saharan Africa (% of total merchandise imports)
TX.VAL.AGRI.ZS.UN	Agricultural raw materials exports (% of merchandise exports)
TX.VAL.FOOD.ZS.UN	Food exports (% of merchandise exports)
TX.VAL.FUEL.ZS.UN	Fuel exports (% of merchandise exports)
TX.VAL.MANF.ZS.UN	Manufactures exports (% of merchandise exports)
TX.VAL.MMTL.ZS.UN	Ores and metals exports (% of merchandise exports)
